title,location,job_type,employer,category
Safety Manager ,Nairobi,Full Time,DAC Aviation (EA) Limited,Quality Control & Assurance
Groundsman / Gardener,Nairobi,Full Time,WAVN Recruitment,Trades & Services
Sales Consultants,Nairobi,Full Time,Baobab Development Group Ltd,Sales & Business Development
Accountant,Nairobi,Full Time,Kenya Markets Trust,Accounting & Auditing
Records Management Assistant,Nairobi,Full Time,World Vision Kenya,Administrative
Regional Finance Specialist,Nairobi,Full Time,RTI International,Accounting & Auditing
Administrative Assistant,Kisumu,Full Time,HJF Medical Research International,Administrative
Procurement Assistant,Nairobi,Full Time,HJF Medical Research International,Supply Chain & Procurement
Internal Auditor,Nairobi,Full Time,HJF Medical Research International,Accounting & Auditing
Contracts And Grants Officer,Nairobi,Full Time,HJF Medical Research International,Accounting & Auditing
Program Manager,Nairobi,Full Time,HJF Medical Research International,Project Management
Program Manager Iii/program Director,Kisumu,Full Time,HJF Medical Research International,Project Management
Hjfmri International Scientific Lead,Nairobi,Full Time,HJF Medical Research International,Project Management
Director - Client Services,Nairobi,Full Time,Kenya Climate Innovation Center (KCIC),Project Management
Manager – Access To Finance,Nairobi,Full Time,Kenya Climate Innovation Center (KCIC),Accounting & Auditing
Sustainability Initiatives Officer,Nairobi,Full Time,Kenya Climate Innovation Center (KCIC),Project Management
Research Intern,Nairobi,Internships & Graduate,Kenya Climate Innovation Center (KCIC),Project Management
Tour And Travel Consultant - Mombasa,Mombasa,Full Time,Helinas Safaris Ltd,Customer Service & Support
Tour And Travel Consultant - Nairobi,Nairobi,Full Time,Helinas Safaris Ltd,Customer Service & Support
Sales Marketing- Position,Nairobi,Full Time,ALPHA SURGICALS SUPPLIES,Sales & Business Development
Full Time Art And Design Teacher,Rest of Kenya,Full Time,Mutungoni Schools,Teaching & Training
Program Assistant ,Nairobi,Full Time,Open Society Initiative for Eastern Africa (OSIEA),Project Management
Deputy Head Teacher,Nairobi,Full Time,Riara Group of Schools,Teaching & Training
Trade Marketing Manager,Nairobi,Full Time,Hasbah Kenya Ltd,Marketing & Communications
Executive Chef,Nairobi,Full Time,Fairview Hotel and Town Lodge by City Lodge Hotel Group,Food Services
Events And Production,Nairobi,Full Time,Well Told Story,Marketing & Communications
Backend Developer,Nairobi,Full Time,Well Told Story,IT & Telecoms
Account Manager (Retail Merchandising – Instore),Nairobi,Full Time,TDF Advertising | The Dream Factory,Sales & Business Development
Dispatch Assistant,Mombasa,Full Time,"Aga Khan Hospital, Mombasa",Accounting & Auditing
"Patient Services Cashier / Receptionist – Ohc, Nyali Branch",Mombasa,Full Time,"Aga Khan Hospital, Mombasa",Administrative
Accounts Assistant,Mombasa,Full Time,"Aga Khan Hospital, Mombasa",Accounting & Auditing
Network Support Intern,Kisumu,Internships & Graduate,Uwezo Broadband Limited,IT & Telecoms
Technician,Kisumu,Full Time,Uwezo Broadband Limited,IT & Telecoms
Isp Marketing & Business Development Assistant,Kisumu,Full Time,Uwezo Broadband Limited,Marketing & Communications
Business Architect,Nairobi,Full Time,Monsanto,IT & Telecoms
Account Manager,Nairobi,Full Time,MasterCard,Sales & Business Development
Intermodal Associate - Service Excellence,Mombasa,Full Time,Maersk Kenya Ltd,Supply Chain & Procurement
Inland Operations Supervisor,Mombasa,Full Time,Maersk Kenya Ltd,Supply Chain & Procurement
Intermodal Co-Ordinator,Mombasa,Full Time,Maersk Kenya Ltd,Supply Chain & Procurement
Transaction Risk Mitigation Officer,Nairobi,Full Time,Standard Bank Group,Administrative
"Head, Telecoms, Media And Technology Sector",Nairobi,Full Time,Standard Bank Group,IT & Telecoms
"Manager, Client Coverage One Cib",Nairobi,Full Time,Standard Bank Group,Management
Employee Experience Officer ,Nairobi,Full Time,Bridge International Academies,Recruitment
Supply Chain Manager,Nairobi,Full Time,Bridge International Academies,Supply Chain & Procurement
Senior It Officer,Nairobi,Full Time,Bridge International Academies,IT & Telecoms
Clinical Officer,Nairobi,Full Time,Médecins Sans Frontières - France,Medicine & Pharmaceutical
Mental Health Supervisor,Nairobi,Full Time,Médecins Sans Frontières - France,Social Developement
Operations Business Coordinator (For A Busy General Trade Company),Nairobi,Full Time,Skills Geographic,Trades & Services
Java Fx Developer ,Nairobi,Full Time,Compulynx Ltd,IT & Telecoms
Manager - Busy Photography Company,Nairobi,Full Time,Skills Geographic,Trades & Services
Dispatch Clerk - Transport,Nairobi,Full Time,Corporate Staffing Services Ltd,Supply Chain & Procurement
Procurement Assistant,Nairobi,Full Time,The Nairobi Hospital,Supply Chain & Procurement
Weighbridge Assistant,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Ict Officer,Nairobi,Full Time,Summit Recruitment & Search,IT & Telecoms
Operations Manager,Nairobi,Full Time,Human Capital Solution Services (HCSS),Management
Solar Sales Representative,Nairobi,Full Time,Summit Recruitment & Search,Sales & Business Development
Aquaculture Business Development Officer,Nairobi,Full Time,Farm Africa (Food & Agricultural Research Management),Project Management
Full Stack Developers,Nairobi,Full Time,Compulynx Ltd,IT & Telecoms
 Grants Management Accountant,Nairobi,Full Time,Coptic Hospital,Accounting & Auditing
Accessories Specialist,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
East Africa Sales Leader,Nairobi,Full Time,Greenlight Planet Kenya Limited,Sales & Business Development
Health & Safety/continuous Improvement Manager,Nairobi,Full Time,The African Talent Company (TATC),Quality Control & Assurance
Btl Agency Account Manager,Nairobi,Full Time,Corporate Staffing Services Ltd,Marketing & Communications
Btl Account Executive,Nairobi,Full Time,Corporate Staffing Services Ltd,Marketing & Communications
Operations Manager - Btl Agency,Nairobi,Full Time,Corporate Staffing Services Ltd,Marketing & Communications
Parts Specialist,Nairobi,Full Time,Corporate Staffing Services Ltd,Sales & Business Development
Operations Associate (Retail Trade),Nairobi,Full Time,Greenlight Planet Kenya Limited,Property Management
"Business Development Manager, East Africa",Nairobi,Full Time,Greenlight Planet Kenya Limited,Sales & Business Development
"Field Manager, New Products And Services",Nairobi,Full Time,Greenlight Planet Kenya Limited,Project Management
Regional Sales Manager – Eb Direct,Nairobi,Full Time,Greenlight Planet Kenya Limited,Sales & Business Development
Events Production Officer,Nairobi,Full Time,Anjarwalla & Khanna,Marketing & Communications
Technology Solutions Professional,Nairobi,Full Time,Microsoft Kenya,IT & Telecoms
Senior Training Manager,Nairobi,Full Time,NewLight Africa Limited,Management
Marketing Intern,Nairobi,Internships & Graduate,Kenya Network Information Centre (KENIC),Marketing & Communications
 It Engineer,Nairobi,Full Time,Affordable Computer Services (K) Limited,IT & Telecoms
Va/iii Administrative Assistant ,Nairobi,Full Time,Media Council of Kenya,Administrative
Va/ii Driver ,Nairobi,Full Time,Media Council of Kenya,Administrative
French Teacher,Thika,Full Time,Midas International Boys High School (Midas Group of Schools),Teaching & Training
Plastics Sales Executive,Nairobi,Full Time,Corporate Staffing Services Ltd,Sales & Business Development
Lady Accounts Assistant,Nairobi,Full Time,Skills Geographic,Accounting & Auditing
Wordpress Developer (Php) (Ict Sector),Nairobi,Full Time,The African Talent Company (TATC),IT & Telecoms
Laboratory Technician,Rest of Kenya,Full Time,KEMRI - Wellcome Trust Research Programme / KEMRI Wellcome Trust,Medicine & Pharmaceutical
Business Development Associates,Nairobi,Full Time,Edge Performance,Sales & Business Development
Intermodal Associate- Nairobi,Nairobi,Full Time,Maersk Kenya Ltd,Supply Chain & Procurement
Future Talent Field Service Engineer,Nairobi,Full Time,Tetra Pak Ltd,Engineering
Credit Controller,Nairobi,Full Time,Tetra Pak Ltd,Accounting & Auditing
Communication Officer,Nairobi,Full Time,Media Council of Kenya,Marketing & Communications
Head Cook,Rest of Kenya,Full Time,Migori Teachers College,Food Services
Nurse,Rest of Kenya,Full Time,Migori Teachers College,Medicine & Pharmaceutical
Housekeepers,Rest of Kenya,Full Time,Migori Teachers College,Trades & Services
Caterers,Rest of Kenya,Full Time,Migori Teachers College,Food Services
School Bus Driver,Nairobi,Full Time,Clara Academy,Administrative
Tours Agent,Nairobi,Full Time,Anonymous,Customer Service & Support
Administrators,Nairobi,Full Time,Petanns Driving School & Computer College,Administrative
Hospitality Lecturer,Nairobi,Full Time,Petanns Driving School & Computer College,Teaching & Training
Mechanical Engineering Lecturer (Automotive Option),Nairobi,Full Time,Petanns Driving School & Computer College,Teaching & Training
Mass Communication Lecturer,Nairobi,Full Time,Petanns Driving School & Computer College,Teaching & Training
Receptionists,Nairobi,Full Time,Petanns Driving School & Computer College,Administrative
Information Communication Technology – Ict Lecturer,Nairobi,Full Time,Petanns Driving School & Computer College,Teaching & Training
Business Development Manager,Nairobi,Full Time,Human Capital Solution Services (HCSS),Sales & Business Development
Logistics Officer,Kisumu,Full Time,BBOXX Capital Kenya Limited,Supply Chain & Procurement
Risk & Compliance Officer,Nairobi,Full Time,GA Insurance Ltd,Quality Control & Assurance
"Accounts Receivable Manager – Arusha, Tanzania",Outside Kenya,Full Time,Summit Recruitment & Search,Accounting & Auditing
Sales Consultants For Mombasa Region,Mombasa,Full Time,Kartridges Kenya Ltd,Sales & Business Development
Sales And Marketing,Nairobi,Full Time,Afriqque Ventures,Sales & Business Development
Management And Communications - Interns,Nairobi,Internships & Graduate,The National Treasury,Marketing & Communications
Finance - Interns,Nairobi,Internships & Graduate,The National Treasury,Accounting & Auditing
Engineering - Interns,Nairobi,Internships & Graduate,The National Treasury,Engineering
Law - Interns,Nairobi,Internships & Graduate,The National Treasury,Legal
Economics - Interns,Nairobi,Internships & Graduate,The National Treasury,Project Management
Wildlife Conservation Coach – Nairobi,Nairobi,Full Time,Covenant Executives Consultants,Teaching & Training
Advertising Sales Executives,Nairobi,Full Time,Impact Communications (Kenya) Limited,Sales & Business Development
Farm Manager,Rest of Kenya,Full Time,The African Talent Company (TATC),Farming
Logistics Specialist,Nairobi,Full Time,LC Waikiki Retail KE Limited,Supply Chain & Procurement
Waste Recycling Coach – Nairobi,Nairobi,Full Time,Covenant Executives Consultants,Teaching & Training
"Drama, Theatre & Performing Arts Coach – Nairobi",Nairobi,Full Time,Covenant Executives Consultants,Teaching & Training
Customer Service Team Leader,Nairobi,Full Time,Virtual HR,Customer Service & Support
Customer Service Agent,Nairobi,Full Time,Virtual HR,Customer Service & Support
Medical Doctor,Rest of Kenya,Full Time,"Medecins Sans Frontieres – Switzerland, Dadaab Programme",Medicine & Pharmaceutical
Ict Officer,Rest of Kenya,Full Time,Windle Trust Kenya,IT & Telecoms
Instructor For Information Studies,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Instructor For Ict (Knec),Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Hair Dressing / Beauty Therapy Instructor,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Accountant Instructor ,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Early Childhood Development Education Instructor / Trainer,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Human Resource Management Instructor / Trainer,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Hospitality & Tourism Management Instructor / Trainer,Nairobi,Full Time,Janta Kenya Limited,Teaching & Training
Receptionist / Office Administrator,Nairobi,Full Time,Janta Kenya Limited,Administrative
Caterer ,Nairobi,Full Time,Janta Kenya Limited,Property Management
Business Systems – Erp Expert,Nairobi,Full Time,PowerGen Renewable Energy Ltd,IT & Telecoms
Business Systems – Implementation Consultant,Nairobi,Full Time,PowerGen Renewable Energy Ltd,IT & Telecoms
It Operations Support,Nairobi,Full Time,Virtual HR,IT & Telecoms
Marketing Manager,Nairobi,Full Time,Virtual HR,Marketing & Communications
Computer Studies Teacher,Rest of Kenya,Full Time,Nova Pioneer,Teaching & Training
Stock Controller,Rest of Kenya,Full Time,NewLight Africa Limited,Accounting & Auditing
Project Technologist - Africa Region,Outside Kenya,Full Time,Medic Mobile Inc.,IT & Telecoms
Primary School Nurse,Rest of Kenya,Full Time,Nova Pioneer,Medicine & Pharmaceutical
Web Administrator,Nairobi,Full Time,Original Images House Of Creativity,IT & Telecoms
Driver,Nairobi,Full Time,Safaricom Limited,Administrative
Principal Ip Planning And Design Engineer,Nairobi,Full Time,Safaricom Limited,IT & Telecoms
It Solutions Architect,Nairobi,Full Time,Safaricom Limited,IT & Telecoms
Broadcast Journalist (Investigations),Nairobi,Full Time,BBC World Service,Marketing & Communications
Media Manager (Broadcast Video Intake & Archiving) - Nairobi,Nairobi,Full Time,BBC World Service,Marketing & Communications
Outcome Mapping And Harvesting Consultant,Nairobi,Full Time,PACT Kenya,Consulting & Strategy
Farm Manager,Thika,Full Time,MARYHILL GIRLS’ HIGH SCHOOL,Farming
Matron,Thika,Full Time,MARYHILL GIRLS’ HIGH SCHOOL,Teaching & Training
Librarian,Rest of Kenya,Full Time,Masai Technical Training Institute,Teaching & Training
Technician - Building 8 Construction,Rest of Kenya,Full Time,Masai Technical Training Institute,Engineering
Secretary,Rest of Kenya,Full Time,Masai Technical Training Institute,Teaching & Training
Teacher In Automotive,Rest of Kenya,Full Time,Masai Technical Training Institute,Teaching & Training
Chef De Partie,Nairobi,Full Time,Villa Rosa Kempinski,Food Services
Sales Executives (Commission Based)-Nairobi,Nairobi,Full Time,Resolution Insurance Kenya HQ*,Sales & Business Development
Graphic Designer,Nairobi,Full Time,Create A Tee,Art & Design
Grants Manager,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Monitoring & Evaluation,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Financial And Administration Management,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Gender And Inclusion,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Civil Society Engagement And Advocacy,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Conflict Mitigation And Social Cohesion,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Economic And Community Development,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Local Governance,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Regional Project Managers (Rpms),Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Director Of Research-Monitoring And Evaluation (M&e),Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Deputy Chief Of Party-Operations,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Deputy Chief Of Party-Programs,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Chief Of Party,Outside Kenya,Full Time,Management Systems International (MSI),Project Management
Accountant,Outside Kenya,Full Time,Chemonics International Inc,Accounting & Auditing
Capacity Building Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Operations And Compliance Director,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Grants Manager/associate,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Communications Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Institutional Strengthening Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Climate-Smart Agriculture Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Stakeholder Engagement Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Biodiversity Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Climate Change Specialist,Outside Kenya,Full Time,Chemonics International Inc,Project Management
Senior Regional Advisor,Nairobi,Full Time,US Agency for International Development,Project Management
Members,Rest of Kenya,Full Time,Uasin Gishu County Public Service Board,Accounting & Auditing
Chairperson,Rest of Kenya,Full Time,Uasin Gishu County Public Service Board,Accounting & Auditing
Members - Alcoholic Drinks Control Board,Rest of Kenya,Full Time,Uasin Gishu County Public Service Board,Management
Director Of Criminal Investigation,Nairobi,Full Time,National Police Service Commission - NPSC,Management
Deputy Inspectors General Of Police,Nairobi,Full Time,National Police Service Commission - NPSC,Management
Project Supervisor,Rest of Kenya,Full Time,Islamic Relief - Kenya,Project Management
Customer Care Specialist,Nairobi,Full Time,Astradental Services,Customer Service & Support
Store Keeper,Nairobi,Full Time,The African Talent Company (TATC),Supply Chain & Procurement
Human Resource Officer,Nairobi,Full Time,The African Talent Company (TATC),Recruitment
Administrator/ Receptionist,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Finance Manager,Nairobi,Full Time,Corporate Staffing Services Ltd,Accounting & Auditing
Community Based Project Manager,Nairobi,Full Time,Corporate Staffing Services Ltd,Social Developement
Real Estate/land Development Project Officer,Nairobi,Full Time,Username Investment Limited,Building & Architecture
Systems Engineer,Nairobi,Full Time,Attain Enterprises Solutions Ltd,IT & Telecoms
Senior Grants Coordinator,Nairobi,Full Time,The African Talent Company (TATC),Accounting & Auditing
Accountant/cashier,Nairobi,Full Time,Anonymous,Accounting & Auditing
Sales And Marketing,Nairobi,Full Time,m-tenders,Sales & Business Development
Assistant Chef,Nairobi,Full Time,Anonymous,Food Services
Interactive E- Books Designer,Nairobi,Full Time,Bookhive Kenya,Art & Design
Barman,Nairobi,Full Time,Anonymous,Food Services
"Sales And Collections Interns (With Possible Employment In Meru, Nkubu, Embu, Chuka And Mwea)",Rest of Kenya,Full Time,4G Capital (4th Generation Capital),Sales & Business Development
Team Leaders,Nairobi,Full Time,4G Capital (4th Generation Capital),Sales & Business Development
Hotel Cooks,Nairobi,Full Time,Anonymous,Food Services
Nurse Aide,Nairobi,Full Time,Anonymous,Medicine & Pharmaceutical
Compliance And Finance Intern,Nairobi,Internships & Graduate,ACTED Kenya | Agency for Technical Cooperation & Development,Accounting & Auditing
Training And Capacity Development Coordinator (Ref.2017/091),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Planning Specialist,Nairobi,Full Time,UNICEF Kenya (United Nations Children Fund),Project Management
Sales Executive – Freight & Logistics,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Logistics/security Manager,Nairobi,Full Time,ADRA Somalia | Adventist Development and Relief Agency International,Supply Chain & Procurement
Consultancy Service,Nairobi,Full Time,Build Africa Kenya,Consulting & Strategy
Customer Experience Intern,Nairobi,Full Time,Username Investment Limited,Customer Service & Support
Operations Manager,Nairobi,Full Time,Network of African National Human Rights Institutions (NANHRI),Project Management
Project Officer – Emergency (Ref.2018/006),Mombasa,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Assistant Regional Manager,Rest of Kenya,Full Time,NewLight Africa Limited,Sales & Business Development
Land Surveyor ,Nairobi,Full Time,National Housing Corporation (NHC),Engineering
Assistant Regional Manager,Rest of Kenya,Full Time,NewLight Africa Limited,Sales & Business Development
Tours Sales And Marketing Executive (For A Destination Management Company) ,Nairobi,Full Time,Skills Geographic,Marketing & Communications
Assistant Regional Manager,Rest of Kenya,Full Time,NewLight Africa Limited,Sales & Business Development
Receptionist/office Admin,Nairobi,Full Time,Effective Advertising Limited,Administrative
Graphic Designer,Nairobi,Full Time,Effective Advertising Limited,Art & Design
Media Sales Executive,Nairobi,Full Time,Effective Advertising Limited,Sales & Business Development
Front Desk Receptionist,Nairobi,Full Time,Anonymous,Administrative
Junior Office Secretary - Mombasa (For A Trading Company),Mombasa,Full Time,Skills Geographic,Trades & Services
Customer Relationship Executive,Nairobi,Full Time,International Supply Chain Solutions Ltd (ISCS),Sales & Business Development
Documentation Administrator,Nairobi,Full Time,Username Investment Limited,Customer Service & Support
"Personal Assistant (Salary 20,000)",Nairobi,Full Time,Upmarket Realtors Limited,Administrative
Technical Officer,Nairobi,Full Time,International Supply Chain Solutions Ltd (ISCS),Administrative
Sales Executives (4 Positions),Nairobi,Full Time,Summit Recruitment & Search,Sales & Business Development
Monitoring & Evaluation Officer,Rest of Kenya,Full Time,Windle Trust Kenya,Project Management
Business Operations Advisor ,Nairobi,Full Time,Oracle Kenya,Sales & Business Development
Sales And Accounts Executive,Nairobi,Full Time,G4S Kenya Limited,Sales & Business Development
Internship - Brand Management,Nairobi,Internships & Graduate,Procter & Gamble,Marketing & Communications
National Gender Equality Strategy Consultant,Nairobi,Full Time,International Organization for Migration (IOM),Consulting & Strategy
Senior Program Officer - Nairobi,Nairobi,Full Time,World Vision Kenya,Project Management
Project Coordinator- Water Hygiene & Sanitation ( Turkana),Rest of Kenya,Full Time,World Vision Kenya,Project Management
Project Officer -Natural Resource Management (Nrm) In Turkana,Rest of Kenya,Full Time,World Vision Kenya,Project Management
Data Monitoring And Evaluation Assistant-Protection ,Nairobi,Full Time,Danish Refugee Council (DRC),Property Management
Protection Assistant –Gbv Prevention; 2 Positions (Dadaab And Kakuma) ,Nairobi,Full Time,Danish Refugee Council (DRC),Social Developement
Psychosocial Counselor,Nairobi,Full Time,Danish Refugee Council (DRC),Social Developement
Human Resource Officer - Mombasa (Very Urgent),Mombasa,Full Time,Skills Geographic,Administrative
Grants Officer ,Nairobi,Full Time,Danish Refugee Council (DRC),Project Management
Finance Collections Officer,Nairobi,Full Time,Username Investment Limited,Accounting & Auditing
Executive Director,Nairobi,Full Time,Kenya Cancer Association,Management
Finance Officer,Nairobi,Full Time,Micro - Enterprises Support Programme Trust (MESPT),Accounting & Auditing
Sales Representative At Twiga Foods,Nairobi,Full Time,FirstCut Hires,Sales & Business Development
Driver-Kenya Market Led Dairy Supply Chain Project,Nairobi,Full Time,Heifer International Kenya,Administrative
Administrative Assistant-Kenya Market Led Dairy Supply Chain Project ,Eldoret,Full Time,Heifer International Kenya,Administrative
Sales Executives - Real Estate Thirty Thousands Plus Commissions.,Nairobi,Full Time,Username Investment Limited,Sales & Business Development
Communications Manager,Nairobi,Full Time,The African Talent Company (TATC),Marketing & Communications
